"","Year","Total_CO2","CO2_Gas.Fuel","CO2_liquid.fuel","CO2_solid.fuel","CO2_cement","CSIRO.Adjusted.Sea.Level","Lower.Error.Bound","Upper.Error.Bound","land.temp","Land and Ocean","N Hem","S Hem"
"1",1880-03-15,236,0,3,233,0,0,-0.952755905,0.952755905,-0.43,-0.21,-0.33,-0.09
"2",1881-03-15,243,0,4,239,0,0.220472441,-0.732283464,1.173228345,-0.34,-0.13,-0.22,-0.03
"3",1882-03-15,256,0,4,252,0,-0.440944881,-1.346456692,0.464566929,-0.28,-0.16,-0.24,-0.07
"4",1883-03-15,272,0,3,269,0,-0.232283464,-1.129921259,0.66535433,-0.28,-0.19,-0.29,-0.08
"5",1884-03-15,275,0,4,271,0,0.590551181,-0.283464567,1.464566928,-0.57,-0.27,-0.41,-0.12
"6",1885-03-15,277,1,4,273,0,0.531496062,-0.330708661,1.393700786,-0.46,-0.25,-0.35,-0.15
"7",1886-03-15,281,2,5,275,0,0.437007874,-0.381889763,1.255905511,-0.57,-0.24,-0.33,-0.14
"8",1887-03-15,295,3,5,287,0,0.216535433,-0.602362204,1.03543307,-0.66,-0.31,-0.33,-0.29
"9",1888-03-15,327,5,5,317,0,0.299212598,-0.519685039,1.118110235,-0.4,-0.19,-0.2,-0.19
"10",1889-03-15,327,3,6,318,0,0.362204724,-0.456692913,1.181102361,-0.2,-0.1,-0.11,-0.09
"11",1890-03-15,356,3,8,345,0,0.440944881,-0.374015748,1.255905511,-0.57,-0.33,-0.36,-0.3
"12",1891-03-15,372,2,9,360,0,0.374015748,-0.440944881,1.188976377,-0.61,-0.27,-0.26,-0.27
"13",1892-03-15,374,2,9,363,0,0.499999999,-0.31496063,1.314960629,-0.52,-0.31,-0.36,-0.26
"14",1893-03-15,370,2,10,358,0,0.685039369,-0.114173228,1.484251967,-0.54,-0.36,-0.41,-0.3
"15",1894-03-15,383,2,9,372,0,0.303149606,-0.547244094,1.153543306,-0.43,-0.32,-0.35,-0.3
"16",1895-03-15,406,2,11,393,0,0.767716535,-0.082677165,1.618110235,-0.35,-0.25,-0.27,-0.22
"17",1896-03-15,419,2,12,405,0,0.468503937,-0.366141732,1.303149605,-0.32,-0.17,-0.22,-0.13
"18",1897-03-15,440,2,13,425,0,0.673228346,-0.145669291,1.492125983,-0.24,-0.18,-0.18,-0.18
"19",1898-03-15,465,2,13,449,0,1.043307086,0.267716535,1.818897636,-0.42,-0.31,-0.3,-0.32
"20",1899-03-15,507,3,14,491,0,1.338582676,0.574803149,2.102362203,-0.35,-0.2,-0.19,-0.21
"21",1900-03-15,534,3,16,515,0,1.125984251,0.405511811,1.846456691,-0.17,-0.15,-0.1,-0.2
"22",1901-03-15,552,4,18,531,0,1.110236219,0.417322834,1.803149604,-0.17,-0.21,-0.12,-0.29
"23",1902-03-15,566,4,19,543,0,1.291338581,0.61023622,1.972440943,-0.36,-0.3,-0.32,-0.28
"24",1903-03-15,617,4,20,593,0,1.606299211,0.937007873,2.275590549,-0.4,-0.36,-0.33,-0.39
"25",1904-03-15,624,4,23,597,0,1.2007874,0.53543307,1.86614173,-0.52,-0.44,-0.42,-0.45
"26",1905-03-15,663,5,23,636,0,0.984251968,0.377952756,1.590551179,-0.35,-0.29,-0.28,-0.31
"27",1906-03-15,707,5,23,680,0,1.251968503,0.673228346,1.83070866,-0.24,-0.26,-0.22,-0.31
"28",1907-03-15,784,5,28,750,0,1.196850392,0.61023622,1.783464565,-0.54,-0.42,-0.48,-0.37
"29",1908-03-15,750,5,30,714,0,1.098425196,0.527559055,1.669291337,-0.39,-0.43,-0.44,-0.43
"30",1909-03-15,785,6,32,747,0,1.27559055,0.700787401,1.850393699,-0.4,-0.47,-0.44,-0.49
"31",1910-03-15,819,7,34,778,0,1.271653542,0.696850393,1.846456691,-0.33,-0.46,-0.44,-0.47
"32",1911-03-15,836,7,36,792,0,1.598425195,1.039370078,2.157480313,-0.36,-0.44,-0.39,-0.49
